"genre","start_year","average_rating","num_votes","primary_title","tconst","priority","title_type","genres","directors"
"Comedy",1924,8.1,65521,"Sherlock Jr.","tt0015324",False,"movie","Action - Comedy - Romance","Buster Keaton"
"Action",1924,8.1,65521,"Sherlock Jr.","tt0015324",False,"movie","Action - Comedy - Romance","Buster Keaton"
"Romance",1924,8.1,65521,"Sherlock Jr.","tt0015324",False,"movie","Action - Comedy - Romance","Buster Keaton"
"Action",1926,8.1,106053,"The General","tt0017925",False,"movie","Action - Adventure - Comedy","Buster Keaton - Clyde Bruckman"
"Adventure",1926,8.1,106053,"The General","tt0017925",False,"movie","Action - Adventure - Comedy","Buster Keaton - Clyde Bruckman"
"Comedy",1926,8.1,106053,"The General","tt0017925",False,"movie","Action - Adventure - Comedy","Buster Keaton - Clyde Bruckman"
"Drama",1931,8.5,216100,"City Lights","tt0021749",True,"movie","Comedy - Drama - Romance","Charles Chaplin"
"Romance",1931,8.5,216100,"City Lights","tt0021749",True,"movie","Comedy - Drama - Romance","Charles Chaplin"
"Comedy",1931,8.5,216100,"City Lights","tt0021749",True,"movie","Comedy - Drama - Romance","Charles Chaplin"
"Comedy",1934,8.1,119606,"It Happened One Night","tt0025316",False,"movie","Comedy - Romance","Frank Capra"
"Romance",1934,8.1,119606,"It Happened One Night","tt0025316",False,"movie","Comedy - Romance","Frank Capra"
"Romance",1939,8.2,355991,"Gone with the Wind","tt0031381",False,"movie","Drama - Romance - War","Victor Fleming"
"Drama",1939,8.2,355991,"Gone with the Wind","tt0031381",False,"movie","Drama - Romance - War","Victor Fleming"
"War",1939,8.2,355991,"Gone with the Wind","tt0031381",False,"movie","Drama - Romance - War","Victor Fleming"
"Comedy",1939,8.1,129300,"Mr. Smith Goes to Washington","tt0031679",True,"movie","Comedy - Drama","Frank Capra"
"Drama",1939,8.1,129300,"Mr. Smith Goes to Washington","tt0031679",True,"movie","Comedy - Drama","Frank Capra"
"Drama",1940,8.1,108217,"The Grapes of Wrath","tt0032551",False,"movie","Drama","John Ford"
"Comedy",1940,8.4,259077,"The Great Dictator","tt0032553",True,"movie","Comedy - Drama - War","Charles Chaplin"
"Drama",1940,8.4,259077,"The Great Dictator","tt0032553",True,"movie","Comedy - Drama - War","Charles Chaplin"
"War",1940,8.4,259077,"The Great Dictator","tt0032553",True,"movie","Comedy - Drama - War","Charles Chaplin"
"Drama",1941,8.2,493011,"Citizen Kane","tt0033467",False,"movie","Drama - Mystery","Orson Welles"
"Mystery",1941,8.2,493011,"Citizen Kane","tt0033467",False,"movie","Drama - Mystery","Orson Welles"
"Romance",1942,8.5,654433,"Casablanca","tt0034583",False,"movie","Drama - Romance - War","Michael Curtiz"
"Drama",1942,8.5,654433,"Casablanca","tt0034583",False,"movie","Drama - Romance - War","Michael Curtiz"
"War",1942,8.5,654433,"Casablanca","tt0034583",False,"movie","Drama - Romance - War","Michael Curtiz"
"Drama",1948,8.2,192328,"Bicycle Thieves","tt0040522",False,"movie","Drama","Vittorio De Sica"
"Drama",1949,8.1,195102,"The Third Man","tt0041959",True,"movie","Drama - Film-Noir - Mystery","Carol Reed"
"Film-Noir",1949,8.1,195102,"The Third Man","tt0041959",True,"movie","Drama - Film-Noir - Mystery","Carol Reed"
"Mystery",1949,8.1,195102,"The Third Man","tt0041959",True,"movie","Drama - Film-Noir - Mystery","Carol Reed"
"Crime",1950,8.1,196105,"Rashomon","tt0042876",False,"movie","Crime - Drama - Mystery","Akira Kurosawa"
"Drama",1950,8.1,196105,"Rashomon","tt0042876",False,"movie","Crime - Drama - Mystery","Akira Kurosawa"
"Mystery",1950,8.1,196105,"Rashomon","tt0042876",False,"movie","Crime - Drama - Mystery","Akira Kurosawa"
"Drama",1952,8.3,101956,"Ikiru","tt0044741",False,"movie","Drama","Akira Kurosawa"
"Adventure",1953,8.1,73382,"The Wages of Fear","tt0046268",False,"movie","Adventure - Drama - Thriller","Henri-Georges Clouzot"
"Drama",1953,8.1,73382,"The Wages of Fear","tt0046268",False,"movie","Adventure - Drama - Thriller","Henri-Georges Clouzot"
"Thriller",1953,8.1,73382,"The Wages of Fear","tt0046268",False,"movie","Adventure - Drama - Thriller","Henri-Georges Clouzot"
"Crime",1954,8.1,204322,"Dial M for Murder","tt0046912",False,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Drama",1954,8.1,204322,"Dial M for Murder","tt0046912",False,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Mystery",1954,8.1,204322,"Dial M for Murder","tt0046912",False,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"Drama",1954,8.5,568119,"Rear Window","tt0047396",False,"movie","Drama - Mystery - Thriller","Alfred Hitchcock"
"Mystery",1954,8.5,568119,"Rear Window","tt0047396",False,"movie","Drama - Mystery - Thriller","Alfred Hitchcock"
"Thriller",1954,8.5,568119,"Rear Window","tt0047396",False,"movie","Drama - Mystery - Thriller","Alfred Hitchcock"
"Action",1954,8.6,400964,"Seven Samurai","tt0047478",False,"movie","Action - Drama","Akira Kurosawa"
