"tconst","start_year","average_rating","num_votes","primary_title","priority","title_type","genres","directors"
"tt0015324",1924,8.1,65521,"Sherlock Jr.",False,"movie","Action - Comedy - Romance","Buster Keaton"
"tt0017925",1926,8.1,106053,"The General",False,"movie","Action - Adventure - Comedy","Buster Keaton - Clyde Bruckman"
"tt0021749",1931,8.5,216100,"City Lights",True,"movie","Comedy - Drama - Romance","Charles Chaplin"
"tt0025316",1934,8.1,119606,"It Happened One Night",False,"movie","Comedy - Romance","Frank Capra"
"tt0031381",1939,8.2,355991,"Gone with the Wind",False,"movie","Drama - Romance - War","Victor Fleming"
"tt0031679",1939,8.1,129300,"Mr. Smith Goes to Washington",True,"movie","Comedy - Drama","Frank Capra"
"tt0032551",1940,8.1,108217,"The Grapes of Wrath",False,"movie","Drama","John Ford"
"tt0032553",1940,8.4,259077,"The Great Dictator",True,"movie","Comedy - Drama - War","Charles Chaplin"
"tt0033467",1941,8.2,493011,"Citizen Kane",False,"movie","Drama - Mystery","Orson Welles"
"tt0034583",1942,8.5,654433,"Casablanca",False,"movie","Drama - Romance - War","Michael Curtiz"
"tt0040522",1948,8.2,192328,"Bicycle Thieves",False,"movie","Drama","Vittorio De Sica"
"tt0041959",1949,8.1,195102,"The Third Man",True,"movie","Drama - Film-Noir - Mystery","Carol Reed"
"tt0042876",1950,8.1,196105,"Rashomon",False,"movie","Crime - Drama - Mystery","Akira Kurosawa"
"tt0044741",1952,8.3,101956,"Ikiru",False,"movie","Drama","Akira Kurosawa"
"tt0046268",1953,8.1,73382,"The Wages of Fear",False,"movie","Adventure - Drama - Thriller","Henri-Georges Clouzot"
"tt0046912",1954,8.1,204322,"Dial M for Murder",False,"movie","Crime - Drama - Mystery","Alfred Hitchcock"
"tt0047396",1954,8.5,568119,"Rear Window",False,"movie","Drama - Mystery - Thriller","Alfred Hitchcock"
"tt0047478",1954,8.6,400964,"Seven Samurai",False,"movie","Action - Drama","Akira Kurosawa"
"tt0048021",1955,8.1,39320,"Rififi",False,"movie","Crime - Drama - Thriller","Jules Dassin"
"tt0050825",1957,8.4,238282,"Paths of Glory",False,"movie","Drama - War","Stanley Kubrick"
